189	海	海	hǎi	hai	3
190	通	通	tōng	tong	1
191	教	教	jiào	jiao	4
192	儿	兒	ér	er	2
193	原	原	yuán	yuan	2
194	东	東	dōng	dong	1
195	声	聲	shēng	sheng	1
196	提	提	tí	ti	2
197	立	立	lì	li	4
198	及	及	jí	ji	2
199	比	比	bǐ	bi	3
200	员	員	yuán	yuan	2
201	解	解	jiě	jie	3
202	水	水	shuǐ	shui	3
203	名	名	míng	ming	2
204	真	真	zhēn	zhen	1
205	论	論	lùn	lun	4
206	处	處	chù	chu	4
207	走	走	zǒu	zou	3
208	义	義	yì	yi	4
209	各	各	gè	ge	4
210	入	入	rù	ru	4
211	几	幾	jǐ	ji	3
212	口	口	kǒu	kou	3
213	认	認	rèn	ren	4
214	条	條	tiáo	tiao	2
215	平	平	píng	ping	2
216	系	系	xì	xi	4
217	气	氣	qì	qi	4
218	题	題	tí	ti	2
219	活	活	huó	huo	2
220	尔	爾	ěr	er	3
221	更	更	gèng	geng	4
222	别	別	bié	bie	2
223	打	打	dǎ	da	3
224	女	女	nǚ	nü	3
225	变	變	biàn	bian	4
226	四	四	sì	si	4
227	神	神	shén	shen	2
228	总	總	zǒng	zong	3
229	何	何	hé	he	2
230	电	電	diàn	dian	4
231	数	數	shù	shu	4
232	安	安	ān	an	1
233	少	少	shǎo	shao	3
234	报	報	bào	bao	4
235	才	才	cái	cai	2
236	结	結	jié	jie	2
237	反	反	fǎn	fan	3
238	受	受	shòu	shou	4
239	目	目	mù	mu	4
240	太	太	tài	tai	4
241	量	量	liàng	liang	4
242	再	再	zài	zai	4
243	感	感	gǎn	gan	3
244	建	建	jiàn	jian	4
245	务	務	wù	wu	4
246	做	做	zuò	zuo	4
247	接	接	jiē	jie	1
248	必	必	bì	bi	4
249	场	場	chǎng	chang	3
250	件	件	jiàn	jian	4
251	计	計	jì	ji	4
252	管	管	guǎn	guan	3
253	期	期	qī	qi	1
254	市	市	shì	shi	4
255	直	直	zhí	zhi	2
256	德	德	dé	de	2
257	资	資	zī	zi	1
258	命	命	mìng	ming	4
